Order |Material|Type|MRP|PrS|Plnt|Target qty|Unit|Bsc start |Basic fin.|System Status |Material description
22852172|30700073|LA |310| |3000| 35,200 |EA |30.01.2025|03.02.2025| |AFLUMYCIN CREAM 20 g
22852173|30700073|LA |310| |3000| 35,200 |EA |30.01.2025|03.02.2025| |AFLUMYCIN CREAM 20 g
22852174|30700073|LA |310| |3000| 35,200 |EA |30.01.2025|03.02.2025| |AFLUMYCIN CREAM 20 g
22852175|30700073|LA |310| |3000| 35,200 |EA |30.01.2025|03.02.2025| |AFLUMYCIN CREAM 20 g
22852176|30700073|LA |310| |3000| 35,200 |EA |30.01.2025|03.02.2025| |AFLUMYCIN CREAM 20 g
1210753 |30700073|RX00|310| |3000| 35,200 |EA |09.02.2025|11.02.2025|CRTD PRC BCRQ MACM SETC |AFLUMYCIN CREAM 20 g
1210752 |30700073|RX00|310| |3000| 35,200 |EA |09.02.2025|11.02.2025|CRTD PRC BCRQ MACM SETC |AFLUMYCIN CREAM 20 g
1210751 |30700073|RX00|310| |3000| 35,200 |EA |09.02.2025|11.02.2025|CRTD PRC BCRQ MACM SETC |AFLUMYCIN CREAM 20 g
1210750 |30700073|RX00|310| |3000| 35,200 |EA |09.02.2025|11.02.2025|CRTD PRC BCRQ MACM SETC |AFLUMYCIN CREAM 20 g
1210749 |30700073|RX00|310| |3000| 35,200 |EA |09.02.2025|11.02.2025|CRTD PRC BCRQ MACM SETC |AFLUMYCIN CREAM 20 g
22852186|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852185|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852184|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852183|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852182|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852181|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852180|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852179|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852178|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852177|30700073|LA |310| |3000| 35,200 |EA |30.04.2025|05.05.2025| |AFLUMYCIN CREAM 20 g
22852187|30700073|LA |310| |3000| 35,200 |EA |03.06.2025|05.06.2025| |AFLUMYCIN CREAM 20 g
22852188|30700073|LA |310| |3000| 35,200 |EA |03.06.2025|05.06.2025| |AFLUMYCIN CREAM 20 g
22852189|30700073|LA |310| |3000| 35,200 |EA |03.06.2025|05.06.2025| |AFLUMYCIN CREAM 20 g
22852190|30700073|LA |310| |3000| 35,200 |EA |03.06.2025|05.06.2025| |AFLUMYCIN CREAM 20 g
22852191|30700073|LA |310| |3000| 35,200 |EA |03.06.2025|05.06.2025| |AFLUMYCIN CREAM 20 g
22852192|30700073|LA |310| |3000| 35,200 |EA |20.08.2025|24.08.2025| |AFLUMYCIN CREAM 20 g
22852193|30700073|LA |310| |3000| 35,200 |EA |20.08.2025|24.08.2025| |AFLUMYCIN CREAM 20 g
22852194|30700073|LA |310| |3000| 35,200 |EA |20.08.2025|24.08.2025| |AFLUMYCIN CREAM 20 g
22852195|30700073|LA |310| |3000| 35,200 |EA |20.08.2025|24.08.2025| |AFLUMYCIN CREAM 20 g
22852196|30700073|LA |310| |3000| 35,200 |EA |20.08.2025|24.08.2025| |AFLUMYCIN CREAM 20 g
22852200|30700073|LA |310| |3000| 35,200 |EA |01.12.2025|03.12.2025| |AFLUMYCIN CREAM 20 g
22852201|30700073|LA |310| |3000| 35,200 |EA |01.12.2025|03.12.2025| |AFLUMYCIN CREAM 20 g
22852197|30700073|LA |310| |3000| 35,200 |EA |01.12.2025|03.12.2025| |AFLUMYCIN CREAM 20 g
22852198|30700073|LA |310| |3000| 35,200 |EA |01.12.2025|03.12.2025| |AFLUMYCIN CREAM 20 g
22852199|30700073|LA |310| |3000| 35,200 |EA |01.12.2025|03.12.2025| |AFLUMYCIN CREAM 20 g
22852202|30700073|LA |310| |3000| 35,200 |EA |02.02.2026|04.02.2026| |AFLUMYCIN CREAM 20 g
22852203|30700073|LA |310| |3000| 35,200 |EA |02.02.2026|04.02.2026| |AFLUMYCIN CREAM 20 g
22852204|30700073|LA |310| |3000| 35,200 |EA |02.02.2026|04.02.2026| |AFLUMYCIN CREAM 20 g
22852205|30700073|LA |310| |3000| 35,200 |EA |02.02.2026|04.02.2026| |AFLUMYCIN CREAM 20 g
22852206|30700073|LA |310| |3000| 35,200 |EA |02.02.2026|04.02.2026| |AFLUMYCIN CREAM 20 g
22852207|30700074|LA |310| |3000| 31,111 |EA |02.02.2025|03.02.2025| |AGISTEN V 0.2 G. VAGINAL TABLETS K.H
22852208|30700074|LA |310| |3000| 31,111 |EA |02.02.2025|03.02.2025| |AGISTEN V 0.2 G. VAGINAL TABLETS K.H
22852210|30700074|LA |310| |3000| 31,111 |EA |23.07.2025|24.07.2025| |AGISTEN V 0.2 G. VAGINAL TABLETS K.H
22852209|30700074|LA |310| |3000| 31,111 |EA |23.07.2025|24.07.2025| |AGISTEN V 0.2 G. VAGINAL TABLETS K.H
22852211|30700074|LA |310| |3000| 31,111 |EA |03.02.2026|04.02.2026| |AGISTEN V 0.2 G. VAGINAL TABLETS K.H
22852212|30700074|LA |310| |3000| 31,111 |EA |03.02.2026|04.02.2026| |AGISTEN V 0.2 G. VAGINAL TABLETS K.H
1210784 |30700081|RX00|310| |3000| 5,415 |EA |23.02.2025|25.02.2025|CRTD MSPT PRC BCRQ SETC |TESTOMAX 30 BAGS 50 MG
1210785 |30700081|RX00|310| |3000| 5,415 |EA |23.02.2025|25.02.2025|CRTD MSPT PRC BCRQ SETC |TESTOMAX 30 BAGS 50 MG
22852215|30700081|LA |310| |3000| 5,415 |EA |22.07.2025|24.07.2025| |TESTOMAX 30 BAGS 50 MG
22852216|30700081|LA |310| |3000| 5,415 |EA |01.12.2025|03.12.2025| |TESTOMAX 30 BAGS 50 MG
22852217|30700081|LA |310| |3000| 5,415 |EA |03.03.2026|05.03.2026| |TESTOMAX 30 BAGS 50 MG
22852218|30700082|LA |310| |3000| 5,100 |EA |28.09.2025|29.09.2025| |TESTOMAX 30 BAGS 25 MG
1210818 |30700084|RX00|310| |3000| 36,000 |EA |23.02.2025|25.02.2025|CRTD MSPT PRC BCRQ SETC |AGISTEN ALOEVERA CREAM 20g
22852220|30700084|LA |310| |3000| 36,000 |EA |27.02.2025|03.03.2025| |AGISTEN ALOEVERA CREAM 20g
22852219|30700084|LA |310| |3000| 36,000 |EA |27.02.2025|03.03.2025| |AGISTEN ALOEVERA CREAM 20g
22852221|30700084|LA |310| |3000| 36,000 |EA |30.06.2025|02.07.2025| |AGISTEN ALOEVERA CREAM 20g
22852222|30700084|LA |310| |3000| 36,000 |EA |30.06.2025|02.07.2025| |AGISTEN ALOEVERA CREAM 20g
22852223|30700084|LA |310| |3000| 36,000 |EA |03.11.2025|05.11.2025| |AGISTEN ALOEVERA CREAM 20g
22852224|30700084|LA |310| |3000| 36,000 |EA |03.11.2025|05.11.2025| |AGISTEN ALOEVERA CREAM 20g
22852225|30700084|LA |310| |3000| 36,000 |EA |03.03.2026|05.03.2026| |AGISTEN ALOEVERA CREAM 20g
22852226|30700084|LA |310| |3000| 36,000 |EA |03.03.2026|05.03.2026| |AGISTEN ALOEVERA CREAM 20g
1210809 |30700085|RX00|310| |3000| 24,000 |EA |09.02.2025|10.02.2025|CRTD PRC BCRQ MACM SETC |AGISTEN CREAM 30g
1210810 |30700085|RX00|310| |3000| 24,000 |EA |09.02.2025|10.02.2025|CRTD MSPT PRC BCRQ SETC |AGISTEN CREAM 30g
22852234|30700085|LA |310| |3000| 24,000 |EA |30.03.2025|31.03.2025| |AGISTEN CREAM 30g
22852235|30700085|LA |310| |3000| 24,000 |EA |30.03.2025|31.03.2025| |AGISTEN CREAM 30g
22852236|30700085|LA |310| |3000| 24,000 |EA |01.07.2025|02.07.2025| |AGISTEN CREAM 30g
22852237|30700085|LA |310| |3000| 24,000 |EA |01.07.2025|02.07.2025| |AGISTEN CREAM 30g
22852238|30700085|LA |310| |3000| 24,000 |EA |04.11.2025|05.11.2025| |AGISTEN CREAM 30g
22852239|30700085|LA |310| |3000| 24,000 |EA |04.11.2025|05.11.2025| |AGISTEN CREAM 30g
22852240|30700085|LA |310| |3000| 24,000 |EA |04.01.2026|05.01.2026| |AGISTEN CREAM 30g
22852241|30700085|LA |310| |3000| 24,000 |EA |04.01.2026|05.01.2026| |AGISTEN CREAM 30g
22852242|30700086|LA |310| |3000| 21,000 |EA |02.03.2025|03.03.2025| |AGISTEN BABY 30g
22852243|30700086|LA |310| |3000| 21,000 |EA |02.03.2025|03.03.2025| |AGISTEN BABY 30g
22852244|30700086|LA |310| |3000| 21,000 |EA |01.07.2025|02.07.2025| |AGISTEN BABY 30g
22852245|30700086|LA |310| |3000| 21,000 |EA |01.07.2025|02.07.2025| |AGISTEN BABY 30g
22852246|30700086|LA |310| |3000| 21,000 |EA |28.09.2025|29.09.2025| |AGISTEN BABY 30g
22852247|30700086|LA |310| |3000| 21,000 |EA |28.09.2025|29.09.2025| |AGISTEN BABY 30g
22852248|30700086|LA |310| |3000| 21,000 |EA |03.02.2026|04.02.2026| |AGISTEN BABY 30g
22852249|30700086|LA |310| |3000| 21,000 |EA |03.02.2026|04.02.2026| |AGISTEN BABY 30g
1211231 |30700089|RX00|310| |3000| 12,000 |EA |02.03.2025|03.03.2025|CRTD MSPT PRC BCRQ SETC |AGISPOR GEL 15g
1211232 |30700089|RX00|310| |3000| 12,000 |EA |02.03.2025|03.03.2025|CRTD MSPT PRC BCRQ SETC |AGISPOR GEL 15g
22864511|30700089|LA |310| |3000| 12,000 |EA |30.03.2025|31.03.2025| |AGISPOR GEL 15g
22864512|30700089|LA |310| |3000| 12,000 |EA |30.03.2025|31.03.2025| |AGISPOR GEL 15g
22852253|30700089|LA |310| |3000| 12,000 |EA |01.07.2025|02.07.2025| |AGISPOR GEL 15g
22852252|30700089|LA |310| |3000| 12,000 |EA |01.07.2025|02.07.2025| |AGISPOR GEL 15g
22852254|30700089|LA |310| |3000| 12,000 |EA |21.08.2025|24.08.2025| |AGISPOR GEL 15g
22852255|30700089|LA |310| |3000| 12,000 |EA |21.08.2025|24.08.2025| |AGISPOR GEL 15g
22852256|30700089|LA |310| |3000| 12,000 |EA |04.11.2025|05.11.2025| |AGISPOR GEL 15g
22852257|30700089|LA |310| |3000| 12,000 |EA |04.11.2025|05.11.2025| |AGISPOR GEL 15g
22852258|30700089|LA |310| |3000| 12,000 |EA |03.02.2026|04.02.2026| |AGISPOR GEL 15g
22852259|30700089|LA |310| |3000| 12,000 |EA |03.02.2026|04.02.2026| |AGISPOR GEL 15g
22852260|30700090|LA |310| |3000| 31,859 |EA |27.03.2025|31.03.2025| |AGISPOR SOLUTION 15 ml
22852261|30700090|LA |310| |3000| 31,859 |EA |27.03.2025|31.03.2025| |AGISPOR SOLUTION 15 ml
22852262|30700090|LA |310| |3000| 31,859 |EA |27.03.2025|31.03.2025| |AGISPOR SOLUTION 15 ml
22852265|30700090|LA |310| |3000| 31,859 |EA |22.07.2025|24.07.2025| |AGISPOR SOLUTION 15 ml
22852264|30700090|LA |310| |3000| 31,859 |EA |22.07.2025|24.07.2025| |AGISPOR SOLUTION 15 ml
22852263|30700090|LA |310| |3000| 31,859 |EA |22.07.2025|24.07.2025| |AGISPOR SOLUTION 15 ml
22852267|30700090|LA |310| |3000| 31,859 |EA |01.12.2025|03.12.2025| |AGISPOR SOLUTION 15 ml
22852268|30700090|LA |310| |3000| 31,859 |EA |01.12.2025|03.12.2025| |AGISPOR SOLUTION 15 ml
22852266|30700090|LA |310| |3000| 31,859 |EA |01.12.2025|03.12.2025| |AGISPOR SOLUTION 15 ml
22852269|30700091|LA |310| |3000| 30,000 |EA |04.06.2025|05.06.2025| |AGISPOR SHAMPOO 100ml
22852270|30700091|LA |310| |3000| 30,000 |EA |01.07.2025|02.07.2025| |AGISPOR SHAMPOO 100ml
