Order,Material,Type,MRP,PrS,Plnt,Order quantity,Unit,Bsc start,Basic fin.,System Status,Material description
807908,4006330,LA,300,,1000,"6,800.00",KG,17/03/2025,19/03/2025,,"BULK, Triamcinolone Actnd Crm 0.025%"
811592,4006330,LA,300,,1000,"6,800.00",KG,17/03/2025,19/03/2025,,"BULK, Triamcinolone Actnd Crm 0.025%"
822443,4006330,LA,300,,1000,"6,800.00",KG,17/03/2025,19/03/2025,,"BULK, Triamcinolone Actnd Crm 0.025%"
831180,4006330,LA,300,,1000,"6,800.00",KG,06/10/2025,07/10/2025,,"BULK, Triamcinolone Actnd Crm 0.025%"
791230,4006400,LA,300,,1000,"6,800.00",KG,24/02/2025,25/02/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
791398,4006400,LA,300,,1000,"6,800.00",KG,24/02/2025,25/02/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
807910,4006400,LA,300,,1000,"6,800.00",KG,24/02/2025,25/02/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
807911,4006400,LA,300,,1000,"6,800.00",KG,24/02/2025,25/02/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
807912,4006400,LA,300,,1000,"6,800.00",KG,03/03/2025,04/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
817474,4006400,LA,300,,1000,"6,800.00",KG,03/03/2025,04/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
817475,4006400,LA,300,,1000,"6,800.00",KG,03/03/2025,04/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
822729,4006400,LA,300,,1000,"6,800.00",KG,03/03/2025,04/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
801079,4006400,LA,300,,1000,"6,800.00",KG,10/03/2025,11/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
801080,4006400,LA,300,,1000,"6,800.00",KG,10/03/2025,11/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
801081,4006400,LA,300,,1000,"6,800.00",KG,10/03/2025,11/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
817476,4006400,LA,300,,1000,"6,800.00",KG,10/03/2025,11/03/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
801083,4006400,LA,300,,1000,"6,800.00",KG,19/05/2025,20/05/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
801084,4006400,LA,300,,1000,"6,800.00",KG,19/05/2025,20/05/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
801085,4006400,LA,300,,1000,"6,800.00",KG,19/05/2025,20/05/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
801086,4006400,LA,300,,1000,"6,800.00",KG,19/05/2025,20/05/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
804576,4006400,LA,300,,1000,"6,800.00",KG,27/05/2025,28/05/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
818989,4006400,LA,300,,1000,"6,800.00",KG,27/05/2025,28/05/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
818990,4006400,LA,300,,1000,"6,800.00",KG,27/05/2025,28/05/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832712,4006400,LA,300,,1000,"6,800.00",KG,16/07/2025,17/07/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832713,4006400,LA,300,,1000,"6,800.00",KG,01/08/2025,04/08/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832714,4006400,LA,300,,1000,"6,800.00",KG,15/08/2025,18/08/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832715,4006400,LA,300,,1000,"6,800.00",KG,22/08/2025,25/08/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832716,4006400,LA,300,,1000,"6,800.00",KG,08/09/2025,09/09/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832717,4006400,LA,300,,1000,"6,800.00",KG,22/09/2025,23/09/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
832718,4006400,LA,300,,1000,"6,800.00",KG,30/09/2025,01/10/2025,,"BULK, Triamcinolone Actnd Crm 0.1%"
